Day,Culture,Temperature,Disk,Treatment,Date,JuvID,F,Fm,Fo,FvFm,FvFmInitial,FvFmPercentageChange,CellPerJuv,Area_mm2,Area_mm2_Difference,Area_mm2_PercentageChange,Polyps,Polyps_Difference,Polyps_PercentageChange,Dead,RespirationPerMM2 ,CellsPerMM2,CellDensityPerMM2PercentChange,CellDensityPerMM2PercentChangePerTimePointAndCulture
03,WT10,27,01,WT10@27,17.10.19,2,0.1745,0.2539,0.1745,0.313,0.352,-11.07954545,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,2,0.1725,0.248,0.1725,0.304,0.352,-13.63636364,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,2,0.1912,0.2618,0.1912,0.27,0.352,-23.29545455,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,3,0.0725,0.124,0.0725,0.415,0.415,0,,,,,,,,yes,,,,
03,WT10,27,01,WT10@27,17.10.19,3,0.0721,0.1201,0.0721,0.4,0.415,-3.614457831,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,3,0.0319,0.0578,0.0319,0.449,0.415,8.192771084,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,3,0.0059,0.0039,0.0059,0,0.415,-100,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,4,0.2162,0.2755,0.2162,0.215,0.215,0,85050,1.053,0,,3,,,no,,80769,,
03,WT10,27,01,WT10@27,17.10.19,4,0.0186,0.0289,0.0186,0,0.215,-100,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,4,0.0093,0.0093,0.0093,0,0.215,-100,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,4,0.0304,0.0554,0.0304,0.451,0.215,109.7674419,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,5,0.2456,0.2873,0.2456,0.145,0.145,0,,1.863,0,,4,,,no,,,,
03,WT10,27,01,WT10@27,17.10.19,5,0.2461,0.2814,0.2461,0.125,0.145,-13.79310345,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,5,0.2441,0.275,0.2441,0.112,0.145,-22.75862069,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,5,0.2431,0.2775,0.2431,0.124,0.145,-14.48275862,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,6,0.2186,0.2779,0.2186,0.213,0.213,0,,0.985,0,,2,,,no,,,,
03,WT10,27,01,WT10@27,17.10.19,6,0.2181,0.2892,0.2181,0.246,0.213,15.49295775,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,6,0.2191,0.2642,0.2191,0.171,0.213,-19.71830986,,,,,,,,,,,,
